color1,color2,color3,color4,color5,color6,color7,color8,AT&T,Amazon,Apple,DocuSign,Intuit,Linkedin,Microsoft,Netflix,Paypal,Walmart,Xerox,Zoom,eFax,url_len,tld_char_score
16711422,262880,14343927,197379,5592299,10855924,9078998,10658466,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1.5136937532713886
16711422,263172,10197915,6184542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2.228799190957286
15855855,15790576,15724528,15789807,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,2.0514766754382183
16644343,16645116,16053494,593718,16448507,15490877,10198441,5527669,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1.3774971407561347
4658081,0,6625697,5455743,1909034,16711422,2966862,11178447,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1.2961550546753444
16711422,460551,10461087,6184542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1.976458554065162
263171,16711422,4481671,7379384,1777203,6970964,3351598,3160922,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1.4581935778213855
15856113,15658993,15790577,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,1.4394742379624097
8411188,16711421,4215657,12685924,3943710,2569280,5850141,3292754,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2.0225088844728316
16711422,4683474,16186875,15462136,4936345,789512,5577166,12100332,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0.8806078766413797
16711422,15922680,7182795,3697562,2370608,15564872,16448507,1584028,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.7968737252114957
2692656,16711422,8421504,7038820,6577511,15592175,5780299,6250594,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1.3187485898827023
16711422,6074824,5879721,4539717,15397622,16174717,11774101,4740736,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.5931484587503947
11249312,9583411,1842981,16711422,3220511,2893097,10199975,9740189,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1.8574891157541664
16711422,394758,10658466,6118749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,3.3376431617966507
2236705,2236706,14379668,2236963,10263449,6250334,16185078,12476033,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1.4416288398161718
14476016,6054767,9870763,16120558,4144959,1973854,6925917,11787646,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1.6645416570058913
15595261,16579834,5913510,7227849,4533376,9590333,8105165,12885595,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0.9957251433370337
16711422,5063748,10854046,2380733,14410484,12475993,8099799,5010121,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.9214663720984213
1779253,7234380,11050374,9481927,4151677,12440029,3287846,2304295,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1.728422802482482
16711422,197379,15031110,13994365,6381921,15771548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1.6467050840736304
16711422,15527922,15453303,1315860,2974903,10460829,9347001,7235930,0,1,0,0,0,0,0,0,0,0,0,0,0,20,0.7535370456643097
15987699,10331021,5587521,4487610,12243842,13950698,7970507,3289650,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1.6999964117509512
16185078,4682966,12702452,986895,9408399,7969249,6184542,10664170,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1.623996915170879
16711422,394758,10592673,6118749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1.8602597356850041
16514043,3764703,12031875,5460819,1315860,14278896,4087465,15491895,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.2689805307597897
16119026,11771252,7498576,12570754,9348746,2368022,8882788,10461362,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1.364056321403617
16711422,2566451,328708,7299681,10854557,7578567,4548744,13654611,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1.6440604144576438
16513786,7761256,12557437,1380623,9151411,15714939,3172736,8110961,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1.6276804319894824
16711422,8025715,1578260,6957603,2973011,4089714,2511690,924199,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.3022723317467313
16711422,15922422,5665458,5481277,328965,9542355,3289137,14740957,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1.8677133299297846
16579836,5921370,10395294,2631720,14280432,7446983,3767218,5015737,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1.7895024622833555
15199969,16645628,10466422,14675955,4739656,7388362,9526603,13552000,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1.2489710338211513
16513783,1119264,9936814,7102040,11048844,5725031,6576735,3156518,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1.4231652052312136
16711422,3223857,6184542,10592673,2249148,14673397,8034263,5141706,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.3276638332003201
16316407,921562,2105840,4475888,5279463,1381914,14543097,3559560,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1.3781898749428934
1450043,5527398,16711422,14935529,3554127,8618883,10133421,7765391,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.4586021810275525
16514043,13554393,7478811,6167063,2700614,9739181,11574157,5200750,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2.614575937676127
16711422,5063748,10854045,2380733,14410740,12475993,8099799,5010121,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1.4394742379624097
15856113,15856370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1.4394742379624097
4942994,6264681,6000796,6460584,10262602,5072469,6988137,16447731,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1.2758802238321592
3102596,1386314,16051158,5079737,9001526,13476195,8147062,15585380,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1.487508806245755
13689848,3503565,16711422,7381985,263172,3954080,15924213,13667188,0,0,0,0,0,0,1,0,0,0,0,0,0,13,1.4510447040370447
16711422,15858940,16119802,394758,3366557,8826305,6842472,11639447,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.9435029142539475
16711422,394758,7368816,10658466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2.0721929400340833
16579836,16378446,131586,8423050,6842469,15461869,10526616,661537,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1.4012199676217143
16711422,3699167,6382439,2105636,9871279,14080996,5460819,15066854,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.4816092305468423
16448250,263172,7171180,11413821,11118243,13028821,2823706,1973795,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1.6492921288142273
5058851,6176561,5781801,16446959,10653314,9737372,6640214,6513259,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1.7134976570496683
16513269,6790615,6670458,11851765,13281914,7825199,9486582,4813470,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0.7339515919685404
2304809,1645599,2432796,16645629,5529443,9612713,2828330,9673887,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1.9004245905560893
16579836,16054777,12902635,4922391,11248017,6904910,8499666,10331807,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1.8470448516385316
16645629,15922680,2903196,10068919,1644850,328451,10855331,6248536,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1.0081697949692932
16579579,14593634,11290676,14242357,526087,4092114,10792361,14738146,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.9804202349671836
16514290,9351223,11776596,13891788,8020278,14345450,14344045,2760721,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.8880318578387104
16381942,5262408,15330029,1841947,13214060,1974310,5462374,14443834,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1.6766147190435667
15856113,526087,11116950,6447455,10650715,16185337,16120054,16315639,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0.8818289382208891
2829099,465029,16316664,15067122,10263708,9410504,9473936,5987163,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1.843395705181865
526344,7233631,16711422,8487297,11040428,13061700,4284344,14607346,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.9282492470435925
16711422,16184826,1842204,5526612,10461087,3564969,9674935,6054356,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1.3653040554260027
16711165,14406380,15391225,1776411,14241173,14063990,13663170,12760542,0,0,0,0,0,0,1,0,0,0,0,0,0,18,1.5376842368684973
16711422,15395822,10528431,6381149,591880,5593448,10525591,16513531,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1.2924005173906785
16711422,2237995,16119544,10198948,5922662,13517117,14672096,11448239,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0.3700094908422868
10924210,16448248,2239287,11969942,13887182,10869135,6514288,9091703,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1.3994429015269092
16514043,3764703,12097667,5395026,14147568,723723,4087465,8493261,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2.1394013600081547
16711422,394758,10790052,5987163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2.066273506989785
16579836,4891781,15198442,14409437,4542810,11120305,12434616,10534321,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.4146347159574321
