color1,color2,color3,color4,color5,color6,color7,color8,AT&T,Amazon,Apple,DocuSign,Intuit,Linkedin,Microsoft,Netflix,Walmart,Xerox,Zoom,url_len,tld_char_score
16711422,1589352,14279147,3830950,9084857,11378830,8022355,3158323,0,0,0,0,0,0,0,0,0,0,0,17,0.6967823024907429
16711422,131586,10132122,6250335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1.7564152970078746
15986669,15460329,0,15461865,15395308,3369909,7368816,10329498,0,0,0,0,0,0,1,0,0,0,0,7,0.17049733390285932
16711422,15396077,5136502,15593455,9805739,5144761,11256024,0,0,0,0,0,0,0,0,0,0,0,0,22,1.3228609269353624
16053492,5923438,7694958,8810346,2767180,3096402,6721471,10460316,0,0,0,0,0,0,0,0,0,0,0,23,1.0763746718176859
15593972,16711422,1644308,1513752,1908512,3567837,6711404,1775899,0,0,0,0,0,0,0,0,0,0,0,22,1.3969575325363448
16711422,15462389,4417477,2171427,9871802,12820346,6250594,263172,0,0,0,0,0,0,0,0,0,0,0,16,0.883152750443109
16711421,15790836,4220357,197449,5856608,9871543,1184015,11510669,0,0,0,0,0,0,0,0,0,0,0,14,0.8015798037900491
1445901,1185565,1707539,1382679,16711165,8732983,4542037,4738892,0,0,0,0,0,0,0,0,0,0,0,21,1.2517526380232549
15922422,16645629,5011560,13734766,5023666,9091518,9519974,12474739,0,0,0,0,0,0,0,0,0,0,0,19,0.8965754379689728
1778218,3552565,16645629,1249555,5277359,3618872,14279917,8168130,0,0,0,0,0,0,0,0,0,0,0,14,0.4882575741322609
12535629,16711422,15724532,16174662,6118749,15584975,11969924,13796745,0,0,0,0,0,0,0,0,0,0,0,21,0.9842041259851388
16448250,7368816,2895409,4672076,3089949,5855834,10330273,14277849,0,0,0,0,0,0,0,0,0,0,0,17,0.7441388021037889
16711422,328965,10263708,6184542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.822216986361965
15591384,10071463,5597042,13818834,8623513,2040370,10893616,11840935,0,0,0,0,0,0,0,0,0,0,0,8,0.15817269742248
16711422,3174591,15331576,7643604,16645886,10329501,7237230,1052688,0,0,0,0,0,0,0,0,0,0,0,20,1.0222587915560808
12445175,7714793,15986664,14112323,12623993,9195068,8900595,15192173,0,0,0,0,0,0,0,0,0,0,0,25,1.4061166005804893
16711422,328965,6184542,10461087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.6854412333369909
12356458,16711422,11689076,11759459,11226240,1646375,3566309,15594489,0,0,0,0,0,0,0,0,0,0,0,8,0.454961895472466
16711422,15988216,2171427,244,4417223,10003127,197379,6184802,0,0,0,0,0,0,0,0,0,0,0,16,0.883152750443109
8289918,15329769,65793,5477856,11053224,13425131,7317328,10404072,0,0,0,0,0,0,0,0,0,0,0,73,1.8807180061664237
16711164,16252154,3636175,16110048,14872308,15455106,3354411,4353694,0,0,0,0,0,0,0,0,0,0,0,31,1.596675577902191
16711422,10183987,12885870,14142100,4073232,15154216,5724046,15790581,0,0,0,0,0,0,0,0,0,0,0,14,0.6242612833550211
16579579,2433571,1185331,1905939,13470555,3233680,2503015,8343876,0,0,0,0,0,0,0,0,0,0,0,16,0.7086597329607776
16710907,14699066,2302755,6052442,12423307,15836058,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.8519969151000633
15527148,3029579,6774875,2302239,1579545,5330784,10852753,14408926,0,0,0,0,0,0,0,0,0,0,0,22,1.2495627036111523
16711422,3699167,6382439,2105636,9871023,14146533,5460819,15001061,0,0,0,0,0,0,0,0,0,0,0,10,0.2556722419137147
15986925,10759464,2235674,10853015,2369066,5921629,15388881,12278617,0,0,0,0,0,0,0,0,0,0,0,26,1.5957856611273034
16711421,15527414,8802112,2171427,2889748,12229252,10199471,4417477,0,0,0,0,0,0,0,0,0,0,0,16,0.883152750443109
16711422,15589607,8134998,11901099,7949678,16514556,15527150,2631205,0,0,0,0,0,0,0,0,0,0,0,14,1.0726515147972213
11656938,5068907,3027516,6904912,5335641,8953014,7294814,3877940,0,0,0,0,0,0,0,0,0,0,0,27,1.5603232827811924
15724527,131586,10526880,6381921,15297402,15651798,15508396,0,0,0,0,0,0,0,0,0,0,0,0,11,0.582129138665749
16711422,2171427,4351941,10134195,14278119,6119007,12493961,10132379,0,0,0,0,0,0,0,0,0,0,0,16,0.883152750443109
16382457,13885938,2974391,7906260,3699926,1191771,1588602,789516,0,0,0,0,0,0,0,0,0,0,0,21,0.9523653972645298
3814450,16711422,5460040,4933191,4934489,4078396,5331538,4472383,0,0,0,0,0,0,0,0,0,0,0,12,0.6188508357009181
1117451,790549,988177,16645629,11220527,1116941,4539432,4540999,0,0,0,0,0,0,0,0,0,0,0,20,1.0242986701897079
16711422,2104604,6379344,3090732,5460050,15856630,5001822,2369842,0,0,0,0,0,0,0,0,0,0,0,34,1.6495921763474937
16711422,2372210,6198216,3026993,11382189,5134451,6447714,657930,0,0,0,0,0,0,0,0,0,0,0,48,3.2006711044356604
16711422,228,328965,10263708,14935036,5592557,6381921,10855925,0,0,0,0,0,0,0,0,0,0,0,13,0.8376489578208556
1450043,5527142,16711422,8618883,14935272,3554127,10133420,7765391,0,0,0,0,0,0,0,0,0,0,0,17,0.9419242662744254
16711422,2829359,2302498,11878457,9347248,4808055,11837331,13488604,0,0,0,0,0,0,0,0,0,0,0,16,0.6392205210950332
16514043,13430265,2841242,6380891,10853784,3487029,8429767,5274298,0,0,0,0,0,0,0,0,0,0,0,11,0.4964563947443052
16711165,2433826,12888719,1908777,9196361,14871278,9159356,9610675,0,0,0,0,0,0,0,0,0,0,0,19,0.9544860801862051
16711422,1457187,14871260,1051423,9608618,4212817,14804456,1118477,0,0,0,0,0,0,0,0,0,0,0,22,0.9902697413594378
16711422,16054008,16445264,2171427,4351941,10002870,263171,6184800,0,0,0,0,0,0,0,0,0,0,0,16,0.883152750443109
16645370,3485742,2645154,6574917,11836801,9715016,14345456,4272179,0,0,0,0,0,0,0,0,0,0,0,21,0.788023403314658
15856113,15856370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.7233303742859281
16711422,2500134,5263440,10461087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1.253951053263992
15856113,15856370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.7233303742859281
16711422,4611222,1910076,6599747,15132909,1914492,9937594,6650023,0,0,0,0,0,0,0,0,0,0,0,14,0.6763737533176869
16711422,10919833,3091241,6444880,3371741,14344425,8368034,8822471,0,0,0,0,0,0,0,0,0,0,0,32,2.0723479558092364
16711165,12705495,266578,5722445,3419689,11771023,4295762,15001581,0,0,0,0,0,0,0,0,0,0,0,16,0.6542759140943523
3289650,15526890,7761253,12618076,15921908,15000548,16119541,1052434,0,0,0,0,0,0,0,0,0,0,0,7,0.29051660949106184
16513009,2633513,3090462,2568522,6004865,7297348,11707015,4743250,0,0,0,0,0,0,0,0,0,0,0,14,1.0784576078519057
8411188,16711421,4215657,12685924,3943710,2569280,5850141,3292754,0,0,0,0,0,0,0,0,0,0,0,26,1.350699716020008
16711422,11316372,15133930,4675707,7034444,10007172,11783818,1249809,0,0,0,0,0,0,0,0,0,0,0,14,0.767634274257501
16053234,9519436,3487288,11444366,7035467,13229268,10071204,3090720,0,0,0,0,0,0,0,0,0,0,0,12,0.5160104655985068
16711161,1186081,4285673,5525574,15650903,5070200,15027170,10198949,0,0,0,0,0,0,0,0,0,0,0,14,0.32741731667480567
16711422,131586,10197915,6118749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.4917243468334736
14939132,16777215,0,9937320,5988709,2171685,16711679,0,0,0,0,0,0,0,0,0,0,0,0,18,0.7126271180078259
15856113,5723991,197379,10984089,14237241,15182247,8724508,0,0,0,0,0,0,0,0,0,0,0,0,9,0.5084956866227701
16448249,1052426,6259351,14082284,9278362,6643289,14341849,10789278,0,0,0,0,0,0,0,0,0,0,0,18,0.8714626461658557
15856113,15658993,15790577,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0.7233303742859281
16711422,2844099,14476789,11702911,6775649,3355442,8036057,2500391,0,0,0,0,0,0,0,0,0,0,0,79,3.0062930207714738
16448250,13476440,1842204,4883364,6117204,8627899,13950950,9407372,0,1,0,0,0,0,0,0,0,0,0,18,0.8933625418333404
15856113,15658993,15790577,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0.7233303742859281
16711422,6929122,16119802,922176,16580350,5724808,16579324,4547518,0,0,0,0,0,0,0,0,0,0,0,16,1.058002958420251
16250871,4802888,14606308,3300514,3684407,15355431,11184551,3956035,0,0,0,0,0,0,1,0,0,0,0,7,0.17049733390285932
16315890,16244717,13280401,14604022,12557231,15989235,14337938,14135235,0,0,0,0,0,0,0,0,0,0,0,18,0.8963849231156218
16711422,4161849,4024476,14080997,10199729,4823376,2305095,2440038,0,0,0,0,0,0,0,0,0,0,0,17,0.9561264245141472
15856113,15658993,15790577,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0.7233303742859281
16711422,2114170,2317479,15395564,7384524,4232636,12692136,15349801,0,0,0,0,0,0,0,0,0,0,0,16,0.6872318721925424
16250871,2838154,3636451,14332509,7038562,6789326,14149102,15980882,0,0,0,0,0,0,0,0,0,0,0,16,0.943972288229094
1973520,16711422,6906711,5334911,9604998,7304307,1513495,1184276,0,0,0,0,0,0,1,0,0,0,0,20,1.0274269037149422
15265531,16381941,1126752,12687741,7757648,9744337,3287075,5075356,0,0,0,0,0,0,0,0,0,0,0,35,2.3415561654567476
16447993,15067628,15856627,10662586,2895923,16250102,7435383,11781322,0,0,0,0,0,0,0,0,0,0,0,32,2.0194621211790524
16711422,460551,10724259,1258080,6184542,11456245,8428994,4021125,0,0,0,0,0,0,0,0,0,0,0,12,0.3986276558494745
16711422,15462129,4888442,5066061,1909287,9872047,5990519,14674406,0,0,0,0,0,0,0,0,0,0,0,18,1.0742211302338578
16579579,65793,11446680,6250335,228,14411000,7256817,6791512,0,0,0,0,0,0,0,0,0,0,0,33,1.6812344135471227
16711422,15922167,10200246,4417477,2171427,197379,6250851,13342561,0,0,0,0,0,0,0,0,0,0,0,16,0.883152750443109
16513522,16240975,1052688,11221041,10393487,13919279,9274981,4604726,0,0,0,0,0,0,0,0,0,0,0,13,0.6933094976650536
16514043,1448221,2103828,5528417,6904143,10461604,11118759,9744790,0,0,0,0,0,0,0,0,0,0,0,29,1.2569648688005302
1778988,16512483,12733254,13998424,13817045,1379597,7953496,10105401,0,0,0,0,0,0,0,0,0,0,0,4,0.08908148082887768
16711422,328965,10197915,6184542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0.8906791919535242
16711422,5063748,10854045,2380733,14476276,12475993,8099799,4944585,0,0,0,0,0,0,0,0,0,0,0,18,0.659660778953935
2106154,16711422,5743818,15198956,6931860,5334420,3900869,15422760,0,0,0,0,0,0,0,0,0,0,0,8,0.3033868115576852
16711422,3699167,6382696,2105636,10330535,5460819,14211549,15066854,0,0,0,0,0,0,0,0,0,0,0,20,1.4742893941082313
