color1,color2,color3,color4,color5,color6,color7,color8,AT&T,Amazon,Apple,Intuit,Linkedin,Microsoft,Netflix,Walmart,Xerox,Zoom,url_len,tld_char_score
16514043,4942978,1978428,9807021,11705990,7691593,13357525,3811873,0,0,0,0,0,0,0,0,0,0,12,0.4847505803022271
16711422,4351941,2171427,14409965,9674685,6184801,263172,10991844,0,0,0,0,0,0,0,0,0,0,16,0.883152750443109
14609141,16579578,15068387,7430490,9675698,11837327,2109758,1249551,0,0,0,0,0,0,0,0,0,0,19,0.9161039960645618
16710907,15719907,1576724,13887478,9154261,2299925,2039847,14711961,0,0,0,0,0,0,0,0,0,0,12,0.8111713041468886
6654940,5666765,16445667,13555952,14326848,13973604,14730845,1452613,0,0,0,0,0,0,0,0,0,0,11,0.6153136334688383
16645629,263172,984786,6250335,10263708,14737905,3951209,5855462,0,0,0,0,0,0,0,0,0,0,24,1.3163300817175005
16711422,15592957,328965,10197657,6512220,244,5526775,10724346,0,0,0,0,0,0,0,0,0,0,12,0.23362664097064814
16447993,2512017,2235412,658441,13686239,7823952,11178882,5988960,0,0,0,0,0,0,0,0,0,0,26,1.0004076343168857
15987699,13356749,13291217,11118752,6709846,4090254,11777973,3486770,0,0,0,0,0,0,0,0,0,0,14,0.8022127602206466
12375794,16184819,3106741,10339051,9220571,1916012,14516279,4553668,0,0,0,0,0,0,0,0,0,0,29,1.8706897841355035
16711422,5063748,10854045,2380733,14410740,12475993,8099799,5010121,0,0,0,0,0,0,0,0,0,0,32,1.965808095453008
16711422,328965,10526623,6315871,16043855,14173238,2763562,16111578,0,0,0,0,0,0,0,0,0,0,14,0.7173802438354756
16711422,5395026,10920088,11023443,16119798,16314613,66019,15264503,0,0,0,0,0,0,0,0,0,0,22,0.8632676430804522
16250614,2042424,1710618,3035516,2309487,4618702,1645082,15521351,0,0,0,0,0,0,0,0,0,0,14,0.3015291005276528
7257273,16448250,14838349,15134702,11490623,3684408,15904928,13458498,0,0,0,0,0,0,0,0,0,0,10,0.455648035681938
16711422,6382695,2105636,3699167,10330276,14079962,5460819,14869475,0,0,0,0,0,0,0,0,0,0,27,1.5621962037424035
13272663,13328449,16645114,13386801,14988703,14793373,0,0,0,0,0,0,0,0,0,0,0,0,18,1.2421254297442517
16711422,1250067,5723991,10395294,3423896,2104606,14540787,3422804,0,0,0,0,0,0,0,0,0,0,20,1.3068877966104397
1119532,9344190,5132658,7752306,3289951,657670,14998737,4071219,0,0,0,0,0,0,0,0,0,0,19,1.1346469858136787
3022868,16118510,11247502,7430478,14475235,9339749,4002337,5324585,0,0,0,0,0,0,0,0,0,0,25,1.3566145727122896
16711422,0,15464189,2237737,14649158,9086137,6449004,6710371,0,0,0,0,0,0,0,0,0,0,23,1.4534216732779688
16316663,14658388,6973800,2894892,14935527,9411233,15330026,15123066,0,0,0,0,0,0,0,0,0,0,23,1.2603605109434655
16711422,13166326,197379,16310875,6198890,6337762,15792116,12099706,0,0,0,0,0,0,0,0,0,0,9,0.34194076199256357
16711422,263172,10197915,6184542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1.5365751583098934
15592941,11902341,328965,333170,7105644,9870525,14014174,4542611,0,0,0,0,0,0,0,0,0,0,18,0.9693752840501189
3946809,6126129,6498870,15000804,10855580,14875854,13949025,9933134,0,0,0,0,0,0,0,0,0,0,15,0.1630614911867615
16711422,394758,228,10395294,6184542,14737914,5526764,10790133,0,0,0,0,0,0,0,0,0,0,43,1.443930623366218
15200247,6788824,1651286,5538758,16579313,2571614,15978827,4547468,0,0,0,0,0,0,0,0,0,0,36,2.037693478206787
16711422,15491895,394758,13863538,6250335,16034964,0,0,0,0,0,0,0,0,0,0,0,0,14,0.5424115747560996
1514016,2694161,2297886,4807791,1450008,6904906,16711422,5203541,0,0,0,0,0,0,0,0,0,0,10,0.5301057540314453
15263976,12302517,12698562,12172218,3355443,6316128,16104067,0,0,0,0,0,0,0,0,0,0,0,28,1.551930608752248
16711422,394758,10658466,6118749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.34836407823535953
16711422,4019076,3093860,6499641,6262756,5056312,2565196,8408620,0,0,0,0,0,0,0,0,0,0,11,0.24350955490818446
16711422,197379,15031110,13994365,6381921,15771548,0,0,0,0,0,0,0,0,0,0,0,0,18,0.7822139936791981
16579836,10264741,11711152,5793136,7299671,2304048,15725042,1578259,0,0,0,0,0,0,0,0,0,0,15,0.5539371373953235
920841,1447453,9347252,7167556,11969156,15327440,15331823,5138048,0,0,0,0,0,0,0,0,0,0,11,0.6838630058216131
16711422,15726332,394758,4285845,10461087,6710886,1720962,9085118,0,0,0,0,0,0,0,0,0,0,10,0.5635738321696243
5816051,16711420,7464527,13561079,15918679,14328402,15023913,15333865,0,0,0,0,0,0,0,0,0,0,24,1.1858793269356274
16118510,2762789,925977,8209979,8124410,13345390,12253178,14350065,0,0,0,0,0,0,0,0,0,0,20,0.3101550815790595
1649998,16711422,15857660,3169682,10236230,2244198,6499654,8298938,0,0,0,0,0,0,0,0,0,0,9,0.429108028624625
15526891,1447446,11707549,4671822,6316128,14726818,14737633,10132382,0,0,0,0,0,0,0,0,0,0,29,1.607241236584342
16711422,14891564,13797764,9979199,657930,15836575,10887702,66020,0,0,0,0,0,0,0,0,0,0,13,0.6499976558433496
16711422,2500134,5329233,10461087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1.9540478319460954
16711422,394758,10658466,6052956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1.9075491792500587
2829099,465029,16448250,15067122,9473936,10526880,9410504,5987163,0,0,0,0,0,0,0,0,0,0,13,0.6332215301219619
15856113,15856370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.7233303742859281
856602,526087,15987701,16711422,658701,5004133,525831,8429481,0,0,0,0,0,0,0,0,0,0,10,0.4950762566893043
16447735,11971553,1977145,3808068,8883651,13782063,8735586,11377294,0,0,0,0,0,0,0,0,0,0,14,0.8248245996641923
15856113,3025965,2499877,4476246,11118760,3421497,8432822,5921370,0,0,0,0,0,0,0,0,0,0,23,1.1787114125432911
723209,16579836,4670788,1973021,10397806,4867401,1315862,10263196,0,0,0,0,0,0,0,0,0,0,18,0.7145498160129609
16382457,13883873,3559283,3096414,12076595,8691897,11378581,5417046,0,0,0,0,0,0,0,0,0,0,13,0.7625314110416592
5146749,16580090,14018788,7908512,5869956,13538141,7168340,13226708,0,0,0,0,0,0,0,0,0,0,11,0.682026689536581
7516626,16711422,10934001,9358573,3769019,3355443,5409963,2632754,0,0,0,0,0,0,0,0,0,0,17,0.7707332110535152
16514042,15504456,14871546,9069383,4478612,10403059,16241237,7645369,0,0,0,0,0,0,0,0,0,0,9,0.38164223885436555
16711422,3699167,6382695,2105636,10330278,5460819,14146012,15066854,0,0,0,0,0,0,0,0,0,0,22,1.234858779769787
1514013,16711422,1382166,7290684,4413544,1710361,7301741,9538182,0,0,0,0,0,0,0,0,0,0,13,0.5792994400145139
16711422,1192289,3630485,14871024,11583441,9415363,394758,6127418,0,0,0,0,0,0,0,0,0,0,18,0.9109016498605449
16711422,12701433,6983152,5730018,10791669,4417172,992818,13212284,0,0,0,0,0,0,0,0,0,0,22,1.2734477445628183
16645629,4549929,2438207,3166758,15118928,7903324,7693645,8427172,0,0,0,0,0,0,0,0,0,0,15,0.7151905625721737
16711422,6238604,15065067,11310531,14801383,9004969,11310274,12891348,0,0,0,0,0,0,0,0,0,0,13,0.5782279943930475
3410179,16711422,15123920,15222077,12621186,7608590,8409669,12686233,0,0,0,0,0,0,0,0,0,0,13,0.8380437106922721
16711422,796270,15462131,5271702,8822454,8309095,1651575,12206138,0,0,0,0,0,0,0,0,0,1,13,0.6713105680092295
1050373,1051918,1054748,15524053,725004,7560002,4284527,11771778,0,0,0,0,0,0,0,0,0,0,15,0.529650065418928
1250067,13164779,8499649,16107332,10407129,1325006,16248284,3627157,0,0,0,0,0,0,0,0,0,0,16,0.9058144077565091
15591392,11430261,12687746,9723459,14595494,15655652,12750742,16449273,0,0,0,0,0,0,0,0,0,0,16,0.7009499882938843
16711422,6929122,16119802,922176,16580350,5724808,16579324,4547518,0,0,0,0,0,0,0,0,0,0,16,1.058002958420251
16645309,395094,5529749,7039401,12495766,1652523,1905935,3939123,0,0,0,0,0,0,0,0,0,0,17,0.7258292553492771
15787734,12758153,1052429,14467988,6512470,8103411,15986159,4670003,0,0,0,0,0,0,0,0,0,0,19,0.9609662159268535
15856113,15856370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.7233303742859281
16579577,11444179,15261689,16048886,5852819,12554446,12496098,3943811,0,0,0,0,0,0,0,0,0,0,23,1.621213364361802
16711422,263172,8200060,10592673,6184542,15655662,9387918,12422588,0,0,0,0,0,0,0,0,0,0,16,0.7411444958245339
16711422,15198185,1250067,6052956,10723227,11645883,228,6250336,0,0,0,0,0,0,0,0,0,0,16,0.7159767823050096
16711422,1971820,14570824,5000268,14803949,9282757,10984345,5525388,0,0,0,0,0,0,0,0,0,0,17,0.7993086350825478
5551012,8289918,1118254,15593970,14349553,2296333,16513782,9689296,0,0,0,0,0,0,0,0,0,0,28,1.3928935747289148
16317437,16711164,1517376,2439795,8562621,16580350,4940920,8927794,0,0,0,0,0,0,0,0,0,0,25,1.4596948740919253
1711670,14409186,5265272,10002093,2699886,1706775,6123706,16645629,0,0,0,0,0,0,0,0,0,0,23,1.3545057825457671
16514043,3764703,12097667,5395026,14147568,723723,4087465,8493261,0,0,0,0,0,0,0,0,0,0,25,1.3452550994708798
16711422,328965,6184542,10461087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.6854412333369909
15593972,16711422,1644308,1513752,1908512,3567837,6711404,1775899,0,0,0,0,0,0,0,0,0,0,18,1.1591947056478504
15856113,7951665,4139031,12032881,5717796,11567171,15716465,3892640,0,0,0,0,0,0,0,0,0,0,24,1.3930115410778103
16711422,460551,10461087,6184542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.8887758036861659
16711422,3295042,3755844,15516489,2833985,3031617,5077651,11585367,0,0,0,0,0,0,0,0,0,0,9,0.3859597195608965
16711422,7710924,3567783,4618722,11744557,2695713,12244712,12101278,0,0,0,0,0,0,0,0,0,0,31,1.9219194620827929
4429558,16119285,5684547,8862105,14805750,3834581,0,5287744,0,0,0,0,0,0,0,0,0,0,17,0.7794307182033977
7040601,5002574,8618863,2830393,4344398,16645629,9275776,3489080,0,0,0,0,0,0,0,0,0,0,24,1.3906183218680916
16514043,3037585,10394779,6776420,8858664,2237475,14739180,16120055,0,0,0,0,0,0,0,0,0,0,33,1.8669595865287958
16711422,2171429,15330288,7366483,4417477,2038804,11182996,9937076,0,0,0,0,0,0,0,0,0,0,16,0.883152750443109
14869218,1848131,6074538,7107707,5347989,10068648,13751510,14083042,0,0,0,0,0,0,0,0,0,0,30,1.6254645990129537
15987699,11119017,1579032,15723767,6117978,14736863,14300977,12695994,0,0,0,0,0,0,0,0,0,0,22,1.4391184059821114
16711422,1052688,10526880,6513507,6170958,15393767,8015469,11770540,0,0,0,0,0,0,0,0,0,0,19,1.0288656348608856
16443994,1579031,7752914,15921648,15854578,5655477,1843759,2431272,0,0,0,0,0,0,0,0,0,0,16,1.0093083471029374
1907997,11638403,15391697,8150090,15657197,7187135,13619680,3759755,0,0,0,0,0,0,0,0,0,0,11,0.415198589645169
16711422,1971820,14506830,14803693,9413316,11966346,5983813,5525135,0,0,0,0,0,0,0,0,0,0,17,0.7993086350825478
16242259,16046790,15244141,14956105,14700865,10701364,15577241,3349785,0,0,0,0,0,0,0,0,0,0,27,1.601442876093223
16711422,1911353,6927071,15437885,3170434,13361646,8289402,15843705,0,0,0,0,0,0,0,0,0,0,34,2.20845428529836
16579836,2039583,15330283,530853,15132650,10790052,16250359,6381921,0,0,0,0,0,0,0,0,0,0,17,0.6051587404171501
16711422,3570543,14919753,1447189,7171436,14673637,8695976,11323844,0,0,0,0,0,0,0,0,0,0,14,0.6675705492914533
1450043,5527142,16711422,8618883,14935272,3554127,10133420,7765391,0,0,0,0,0,0,0,0,0,0,17,0.9419242662744254
16579836,16054777,12902635,4922391,11248017,6904910,8499666,10331807,0,0,0,0,0,0,0,0,0,0,23,1.2149514832750454
15430018,15856371,16711422,3220284,15596278,266795,9476521,2308714,0,0,0,0,0,0,0,0,0,0,11,0.5651602802380613
16711422,2171427,4351941,10134195,14278119,6119007,12493961,10132379,0,0,0,0,0,0,0,0,0,0,16,0.883152750443109
16711422,4692574,2513842,657930,16376146,10855584,6249819,14476784,0,0,0,0,0,0,0,0,0,0,16,0.7232592473501842
