color1,color2,color3,color4,color5,color6,color7,color8,AT&T,Amazon,Apple,DocuSign,Intuit,Linkedin,Microsoft,Netflix,Paypal,Walmart,Xerox,Zoom,eFax,url_len,tld_char_score,text_len
16316662,526344,3765738,6579300,10460828,14410996,6985709,10336752,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1.299560448086079,505
16514043,3764703,12097666,5460819,14147568,789516,4087465,8493261,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1.9788223931719144,405
16711422,2960685,15264239,1579034,10658725,7167581,6250337,592650,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1.4752750532820704,190
16711422,5948519,16185337,6131168,15005159,5089112,11316396,7962244,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1.930676923140191,111
15395561,15461614,4019613,11836298,3420206,14869730,7626321,8034245,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1.3453490886879649,157
16711422,4351941,2171427,9871803,14344172,263172,13081710,6184801,0,0,0,0,0,0,1,0,0,0,0,0,0,16,0.8978276987365957,1694
7171179,16711422,3748398,1983046,7041138,6321004,6269894,5642802,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1.6947811558104187,58
16711422,1446674,1842472,3154730,7101012,9476272,5528432,6902878,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1.4421973334312603,234
15856113,15658993,15790577,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,1.4394742379624097,209
16711422,3828896,9393747,11508361,14541806,8691138,5119622,1907997,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.7359625824022935,206
16711422,6117567,15395568,10724259,2509968,11710440,9475532,7566195,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1.7391041614133163,425
1387336,5791333,15132390,4429674,3681332,5460796,9871532,3946546,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.4486475882081504,1233
16711422,1382171,15725045,460293,9937073,4483012,5791334,11511966,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8978276987365957,1692
16645628,2371132,15856627,12234848,12113025,4945056,8761659,3355443,0,0,0,0,0,1,0,0,0,0,0,0,0,14,1.4860275616485823,978
1317927,3097694,16046944,6009840,1719667,15283235,6375956,12226867,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2.3347501487709557,293
16447989,15332076,1324348,3435893,14536603,4030329,8893339,5089647,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.3062745035248341,343
15527667,16711159,4282515,3765738,4825646,15350830,11832711,8165841,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1.5074583803179233,253
16579836,5929913,7835843,13360222,7390552,4874380,4292922,5612104,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1.0213418538105252,395
16119285,1644825,9772306,10724002,6184284,4096203,14017523,7447000,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1.316975304182098,668
14872827,16711422,10131900,15449849,986636,5796545,6122096,13935863,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1.1797444241492707,503
15987699,10331022,5587521,4487610,12243842,13950698,7970507,3289650,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1.7523571531578073,209
658193,657930,15856113,2430491,10656148,7031633,8409417,527114,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2.0959642432521686,205
4956128,2710938,3966948,16777215,14215417,7368816,9945584,16711679,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1.359573951414835,110
15058259,16711164,12033647,15662590,8809031,722948,10520146,14891049,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2.214277178127051,367
16119284,5287255,3223857,14151164,6997876,14545375,9034893,10986140,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8596342357971988,135
16711422,2631720,11616571,11246233,13582905,7255494,3630735,15247268,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1.6633628412729207,524
16711422,394758,228,10395294,6184542,14737914,5526764,10790133,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1.9158872562182927,1270
15856113,15856370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1.4394742379624097,180
16711420,15922165,3765480,5465232,9608885,263172,9539985,7303023,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2.516982012286573,219
6592871,2565927,16645629,14673890,5527646,8102783,7884357,16711166,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1.2035206873424078,351
16382457,13885938,2974391,7906260,3699926,1191771,1588602,789516,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1.9123637149028254,468
1709071,1251615,1317656,7620929,2102039,16711422,4214360,5196070,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1.099391294137801,168
6595063,3700214,16580344,13039982,9486329,11982075,1052942,5925693,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.8039939926458899,88
16711422,13421819,394758,10789280,6579300,66020,15349286,5724141,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1.3799022232504612,1063
14344178,16711422,3502265,2764338,9609393,15632951,5013439,11124699,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1.9170948843864344,182
15526890,1447446,11773084,4671822,6316128,14792354,14737633,10132382,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2.1076713030198717,353
16711422,10989256,2896709,9380454,1776411,5723991,10526880,14475238,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1.5359024652074016,459
