Epochs,Accuracy,F1 Score,Recall,Precision,MCC,Kappa
"for 75, 32, the results are: ",[0.7925925925925926,0.732484076,0.68452381,0.787671233,0.568191037, 0.5644826791612259]
"for 75, 64, the results are: ",[0.7901234567901234,0.73354232,0.696428571,0.774834437,0.563409281, 0.5612358046877988]
"for 75, 128, the results are: ",[0.7975308641975308,0.74375,0.708333333,0.782894737,0.579068407, 0.5770935207823962]
"for 75, 256, the results are: ",[0.7975308641975308,0.737179487,0.68452381,0.798611111,0.578612726, 0.5740997229916898]
"for 75, 512, the results are: ",[0.8,0.742857143,0.696428571,0.795918367,0.5838725, 0.5804075054679406]
"for 100, 32, the results are: ",[0.7925925925925926,0.730769231,0.678571429,0.791666667,0.568143255, 0.5637119113573408]
"for 100, 64, the results are: ",[0.7925925925925926,0.734177215,0.69047619,0.783783784,0.568303523, 0.5652507284158872]
"for 100, 128, the results are: ",[0.8,0.739549839,0.68452381,0.804195804,0.583872911, 0.5789210212176057]
"for 100, 256, the results are: ",[0.8,0.744479495,0.702380952,0.791946309,0.583972186, 0.581146818860842]
"for 100, 512, the results are: ",[0.8049382716049382,0.749206349,0.702380952,0.802721088,0.594294659, 0.5907678139749051]
"for 125, 32, the results are: ",[0.7925925925925926,0.734177215,0.69047619,0.783783784,0.568303523, 0.5652507284158872]
"for 125, 64, the results are: ",[0.7950617283950617,0.738170347,0.696428571,0.785234899,0.573579852, 0.5708047650055541]
"for 125, 128, the results are: ",[0.8024691358024691,0.74522293,0.696428571,0.801369863,0.589066201, 0.5852215992011676]
"for 125, 256, the results are: ",[0.8024691358024691,0.746835443,0.702380952,0.797297297,0.589117678, 0.5859530746817972]
"for 125, 512, the results are: ",[0.7975308641975308,0.738853503,0.69047619,0.794520548,0.578628619, 0.5748521391811967]
"for 150, 32, the results are: ",[0.8049382716049382,0.74433657,0.68452381,0.815602837,0.594495451, 0.588589283647726]
"for 150, 64, the results are: ",[0.7851851851851852,0.720257235,0.666666667,0.783216783,0.552415079, 0.5477299857522431]
"for 150, 128, the results are: ",[0.7950617283950617,0.736507937,0.69047619,0.789115646,0.573450341, 0.5700471969609762]
"for 150, 256, the results are: ",[0.8024691358024691,0.741935484,0.68452381,0.809859155,0.589166916, 0.5837508671856935]
"for 150, 512, the results are: ",[0.8049382716049382,0.745980707,0.69047619,0.811188811,0.594358856, 0.5893180330393931]
"for 175, 32, the results are: ",[0.8074074074074075,0.751592357,0.702380952,0.808219178,0.599503783, 0.5955910592211384]
"for 175, 64, the results are: ",[0.8,0.742857143,0.696428571,0.795918367,0.5838725, 0.5804075054679406]
"for 175, 128, the results are: ",[0.8024691358024691,0.74522293,0.696428571,0.801369863,0.589066201, 0.5852215992011676]
"for 175, 256, the results are: ",[0.8049382716049382,0.749206349,0.702380952,0.802721088,0.594294659, 0.5907678139749051]
"for 175, 512, the results are: ",[0.8024691358024691,0.74522293,0.696428571,0.801369863,0.589066201, 0.5852215992011676]
"for 200, 32, the results are: ",[0.7925925925925926,0.732484076,0.68452381,0.787671233,0.568191037, 0.5644826791612259]
"for 200, 64, the results are: ",[0.8049382716049382,0.747603834,0.696428571,0.806896552,0.594292364, 0.5900442052661925]
"for 200, 128, the results are: ",[0.8049382716049382,0.747603834,0.696428571,0.806896552,0.594292364, 0.5900442052661925]
"for 200, 256, the results are: ",[0.8074074074074075,0.75,0.696428571,0.8125,0.599551666, 0.5948753462603877]
"for 200, 512, the results are: ",[0.8049382716049382,0.739273927,0.666666667,0.82962963,0.595340558, 0.5863874345549738]
"for 225, 32, the results are: ",[0.8049382716049382,0.747603834,0.696428571,0.806896552,0.594292364, 0.5900442052661925]
"for 225, 64, the results are: ",[0.8049382716049382,0.745980707,0.69047619,0.811188811,0.594358856, 0.5893180330393931]
"for 225, 128, the results are: ",[0.8074074074074075,0.75,0.696428571,0.8125,0.599551666, 0.5948753462603877]
"for 225, 256, the results are: ",[0.8049382716049382,0.747603834,0.696428571,0.806896552,0.594292364, 0.5900442052661925]
"for 225, 512, the results are: ",[0.8123456790123457,0.753246753,0.69047619,0.828571429,0.610396787, 0.6038610038610038]
"for 250, 32, the results are: ",[0.8049382716049382,0.747603834,0.696428571,0.806896552,0.594292364, 0.5900442052661925]
"for 250, 64, the results are: ",[0.8123456790123457,0.757961783,0.708333333,0.815068493,0.609941364, 0.6059605192411092]
"for 250, 128, the results are: ",[0.8049382716049382,0.750788644,0.708333333,0.798657718,0.59436452, 0.5914888727161298]
"for 250, 256, the results are: ",[0.8123456790123457,0.753246753,0.69047619,0.828571429,0.610396787, 0.6038610038610038]
"for 250, 512, the results are: ",[0.8123456790123457,0.757961783,0.708333333,0.815068493,0.609941364, 0.6059605192411092]
