Optimizers,Epochs and total neurons,Accuracy,F1 score,Recall,Precision,Matthews Coefficient,Kappa Coefficient
,,,,,,,
adam, epochs:75 and no.of neurons:32,0.698305085,0.611353712,0.56,0.673076923,0.372347648,0.36818674
,,,,,,,
, epochs:75 and no.of neurons:64,0.722033898,0.646551724,0.6,0.700934579,0.423211804,0.419764932
,,,,,,,
, epochs:100 and no.of neurons:32,0.718644068,0.643776824,0.6,0.694444444,0.416338867,0.413322152
,,,,,,,
, epochs:100 and no.of neurons:64,0.715254237,0.641025641,0.6,0.688073394,0.409514928,0.40689325
,,,,,,,
, epochs:125 and no.of neurons:32,0.701694915,0.623931624,0.584,0.669724771,0.381089774,0.378650072
,,,,,,,
, epochs:125 and no.of neurons:64,0.691525424,0.616033755,0.584,0.651785714,0.361051566,0.359537159
,,,,,,,
, epochs:150 and no.of neurons:32,0.694915254,0.637096774,0.632,0.642276423,0.374004598,0.373968404
,,,,,,,
, epochs:150 and no.of neurons:64,0.701694915,0.627118644,0.592,0.666666667,0.38184782,0.37998567
,,,,,,,
, epochs:200 and no.of neurons:32,0.701694915,0.633333333,0.608,0.660869565,0.383584817,0.382639715
,,,,,,,
, epochs:200 and no.of neurons:64,0.681355932,0.620967742,0.616,0.62601626,0.346178278,0.346144777
,,,,,,,
, epochs:250 and no.of neurons:32,0.688135593,0.634920635,0.64,0.62992126,0.362796025,0.362761212
,,,,,,,
, epochs:250 and no.of neurons:64,0.681355932,0.62992126,0.64,0.620155039,0.350415115,0.350281162
sgd,,,,,,,
, epochs:75 and no.of neurons:32,0.73220339,0.629107981,0.536,0.761363636,0.445498191,0.4292886
,,,,,,,
, epochs:75 and no.of neurons:64,0.742372881,0.638095238,0.536,0.788235294,0.469296827,0.449140049
,,,,,,,
, epochs:100 and no.of neurons:32,0.73559322,0.638888889,0.552,0.758241758,0.452127673,0.438369539
,,,,,,,
, epochs:100 and no.of neurons:64,0.718644068,0.617511521,0.536,0.72826087,0.414879005,0.403023284
,,,,,,,
, epochs:125 and no.of neurons:32,0.708474576,0.601851852,0.52,0.714285714,0.392716687,0.380766414
,,,,,,,
, epochs:125 and no.of neurons:64,0.722033898,0.627272727,0.552,0.726315789,0.422026366,0.412150668
,,,,,,,
, epochs:150 and no.of neurons:32,0.73559322,0.645454545,0.568,0.747368421,0.45138905,0.440826245
,,,,,,,
, epochs:150 and no.of neurons:64,0.73559322,0.638888889,0.552,0.758241758,0.452127673,0.438369539
,,,,,,,
, epochs:200 and no.of neurons:32,0.718644068,0.613953488,0.528,0.733333333,0.415139602,0.401710446
,,,,,,,
, epochs:200 and no.of neurons:64,0.725423729,0.64628821,0.592,0.711538462,0.429781664,0.424978944
,,,,,,,
, epochs:250 and no.of neurons:32,0.722033898,0.643478261,0.592,0.704761905,0.422783333,0.418509615
,,,,,,,
, epochs:250 and no.of neurons:64,0.701694915,0.614035088,0.56,0.67961165,0.379272805,0.374608528
