color1,color2,color3,color4,color5,color6,color7,color8,AT&T,Amazon,Apple,DocuSign,Intuit,Linkedin,Microsoft,Netflix,Paypal,Walmart,Xerox,Zoom,eFax,url_len,tld_char_score,text_len
16711422,262880,14343927,197379,5592299,10855924,9078998,10658466,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1.5136937532713886,39
16711422,263172,10197915,6184542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2.228799190957286,91
15855855,15790576,15724528,15789807,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,2.0514766754382183,216
16644343,16645116,16053494,593718,16448507,15490877,10198441,5527669,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1.3774971407561347,232
4658081,0,6625697,5455743,1909034,16711422,2966862,11178447,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1.2961550546753444,110
16711422,460551,10461087,6184542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1.976458554065162,14
263171,16711422,4481671,7379384,1777203,6970964,3351598,3160922,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1.4581935778213855,689
15856113,15658993,15790577,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,1.4394742379624097,207
8411188,16711421,4215657,12685924,3943710,2569280,5850141,3292754,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2.0225088844728316,43
16711422,4683474,16186875,15462136,4936345,789512,5577166,12100332,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0.8806078766413797,259
16711422,15922680,7182795,3697562,2370608,15564872,16448507,1584028,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.7968737252114957,356
2692656,16711422,8421504,7038820,6577511,15592175,5780299,6250594,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1.3187485898827023,600
16711422,6074824,5879721,4539717,15397622,16174717,11774101,4740736,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.5931484587503947,231
11249312,9583411,1842981,16711422,3220511,2893097,10199975,9740189,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1.8574891157541664,80
16711422,394758,10658466,6118749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,3.3376431617966507,158
2236705,2236706,14379668,2236963,10263449,6250334,16185078,12476033,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1.4416288398161718,149
14476016,6054767,9870763,16120558,4144959,1973854,6925917,11787646,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1.6645416570058913,834
