color1,color2,color3,color4,color5,color6,color7,color8,AT&T,Amazon,Apple,DocuSign,Intuit,Linkedin,Microsoft,Netflix,Walmart,Xerox,Zoom,url_len,tld_char_score
16711422,3026478,3092528,7381820,10724247,6381404,3092272,12701591,0,0,0,0,0,0,0,0,0,0,0,24,1.4602863757155264
16645629,2105376,4868682,11119016,13841467,3872794,12266805,8658725,0,0,0,0,0,0,0,0,0,0,0,18,0.7357895676813975
16447993,2512017,2235412,658441,13686239,7823952,11178882,5988960,0,0,0,0,0,0,0,0,0,0,0,26,1.0004076343168857
15330027,16382199,3821111,6380630,11051672,2301722,7237489,6446945,0,0,0,0,0,0,0,0,0,0,0,28,1.7526517595079536
16645629,15659251,7740212,4984608,8079194,15326947,4874091,11834014,0,0,1,0,0,0,0,0,0,0,0,14,0.7806416882072399
14145493,3041684,65793,7234132,13427946,10995416,11574917,3488319,0,0,0,0,0,0,0,0,0,0,0,6,0.2145447766684888
6645093,16711422,994393,14344166,9280691,4611198,2178152,6978972,0,0,0,0,0,0,0,0,0,0,0,14,0.5223655896066389
16579579,525828,12883832,1645869,7298120,1905430,16579324,5330022,0,0,0,0,0,0,0,0,0,0,0,17,0.8876160746766597
16382456,14918991,789259,14540512,5855318,15654760,16119542,11242304,0,0,0,0,0,0,0,0,0,0,0,10,0.13497481203395648
1841432,7166536,11442819,10397104,15985888,13489119,5660524,1448492,0,0,0,0,0,0,0,0,0,0,0,24,1.244556004941329
16711422,15462389,4417477,2171427,9871802,12820346,6250594,263172,0,0,0,0,0,0,0,0,0,0,0,16,0.883152750443109
16118769,12601381,13670266,14606565,13458240,1249294,10565705,15260384,0,0,0,0,0,0,1,0,0,0,0,10,0.5441956337710256
16711422,16251129,16375665,13321290,9471869,12332061,3355443,7172986,0,0,0,0,0,0,0,0,0,0,0,12,0.8584083337223645
16645113,11707304,12297890,13613238,1382687,9410207,2171169,5860221,0,0,0,0,0,0,0,0,0,0,0,20,0.987956081832015
2763564,4474182,16645629,2698027,10469190,4079425,2697512,4474437,0,0,0,0,0,0,0,0,0,0,0,20,1.0848789987729894
13383217,16711165,925778,11506318,12144973,14201074,2628641,8015955,0,0,0,0,0,0,0,0,0,0,0,15,0.9721492854180163
2976163,5807832,1589105,1456486,16711422,13819622,4228805,14607330,0,0,0,0,0,0,0,0,0,0,0,17,0.6596649543610937
15921906,15373887,6776679,5610449,3289650,13425897,16106350,11040428,1,0,0,0,0,0,0,0,0,0,0,22,1.0843909873787698
16711422,526344,228,10920090,6249560,14935036,5460972,10921717,0,0,0,0,0,0,0,0,0,0,0,17,1.005818940383018
1053990,2825256,5066842,9976875,16711422,3944232,3489358,2173992,0,0,0,0,0,0,0,0,0,0,0,11,0.5588671597059145
14869218,1848131,6074538,7107707,5347989,10068648,13751510,14083042,0,0,0,0,0,0,0,0,0,0,0,30,1.6254645990129537
16119284,3355490,7429458,5983826,9478569,2892840,11245705,6516342,0,0,0,0,0,0,0,0,0,0,0,8,0.36417397083313924
14871292,16645626,7317724,4219292,3355443,13690472,4358693,10533219,0,0,0,0,0,0,0,0,0,0,0,18,0.8777566258237908
14481364,4092748,65793,8892806,16119792,5903051,8749695,14638133,0,0,0,0,0,0,1,0,0,0,0,7,0.17049733390285932
16645629,65793,10262936,5921112,14015456,10397360,14474204,14764866,0,0,0,0,0,0,0,0,0,0,0,13,0.804052100153336
16711422,131586,7184959,10658466,6052956,4685863,14608853,9681013,0,0,0,0,0,0,0,0,0,0,0,25,1.5598884750057727
595232,2430740,1317144,7102512,4091964,16119028,4420596,2172528,0,0,0,0,0,0,0,0,0,0,0,51,3.573299586284648
2566189,4688882,16447993,15285059,13406806,5266544,8673602,14343908,0,0,0,0,0,0,0,0,0,0,0,14,0.4271896606398556
16579835,789516,3025965,10004160,10397574,7627616,14475496,9609611,0,0,0,0,0,0,0,0,0,0,0,17,0.7159261386753193
5000268,16645629,4213583,3026218,1318191,4669991,2040608,3154726,0,0,0,0,0,0,0,0,0,0,0,11,0.4807520166965264
16711422,1775897,1908521,6774611,10262934,5790821,1711386,3415329,0,0,0,0,0,0,0,0,0,0,0,20,1.1002277528677062
13421772,14066545,1118481,15779197,8479309,15054238,11958086,0,0,0,0,0,0,0,0,0,0,0,0,16,0.6769881026779462
2169109,7625290,12032892,15788512,14278895,3416613,2171946,9411503,0,0,0,0,0,0,0,0,0,0,0,15,0.3659099838113113
16119028,3372751,15725301,15461612,11710379,6908265,3355443,15329513,0,0,0,0,0,0,1,0,0,0,0,17,1.1313860339161648
16711422,15462129,4888442,5066061,1909287,9872047,5990519,14674406,0,0,0,0,0,0,0,0,0,0,0,18,1.0742211302338578
16711422,2171427,15198960,4351941,5593440,9805752,11316395,592136,0,0,1,0,0,0,0,0,0,0,0,16,0.883152750443109
16448250,13016957,5985359,8328974,1577485,14607075,16119798,14860179,0,0,0,0,0,0,0,0,0,0,0,10,0.3128271445359572
131077,16711422,7869940,5967800,15086171,3016982,15195890,11544137,0,0,0,0,0,0,0,0,0,0,0,28,1.5545257073420058
16645629,7519722,328965,10014703,7362389,10722717,9358318,14247266,0,0,0,0,0,0,0,0,0,0,0,27,1.4147280403500213
15921906,4422058,15066855,5658198,2434341,15395819,3619130,10395294,0,0,0,0,0,0,0,0,0,0,0,29,1.5874149556809112
16382457,985864,2249139,6444621,10918538,131330,14052654,14146530,0,0,0,0,0,0,0,0,0,0,0,12,0.6933252933163268
16579836,15724786,3764447,7179733,6909042,14111040,2894194,15843139,0,0,0,0,0,0,0,0,0,0,0,12,0.5990944034198099
920841,1447453,9347252,7167556,11969156,15327440,15331823,5138048,0,0,0,0,0,0,0,0,0,0,0,11,0.6838630058216131
16711422,3699167,6382695,2105636,10330278,5460819,14146012,15066854,0,0,0,0,0,0,0,0,0,0,0,22,1.234858779769787
16711422,3571190,6592997,6383986,14082288,11974326,15790577,9747448,0,0,0,0,0,0,0,0,0,0,0,7,0.40055496086035347
16711422,11861333,197379,9868950,6513506,8896064,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1.699228024558005
16711422,9549005,12768482,11060183,5074826,15922420,14175047,6706001,0,0,0,0,0,0,0,0,0,0,0,11,0.5373872063299612
15856113,15856370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.7233303742859281
16514043,9355885,4492770,460551,9391173,10788767,1321853,14411509,0,0,0,0,0,0,0,0,0,0,0,10,0.2621612256217061
15987441,3698355,723980,3173697,10460830,14279664,8101578,6513507,0,0,0,0,0,0,0,0,0,0,0,10,0.11864052749970296
6776679,16514043,10329501,3684408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.43224337307289207
16513786,5022415,14600544,13149079,7164820,13755634,12936333,11764900,0,0,0,0,0,0,0,0,0,0,0,15,0.45661937701896693
15595258,16579836,2303272,3882820,5333626,8823487,14652233,5470641,0,0,0,0,0,0,0,0,0,0,0,17,1.1654699937837756
16448249,197122,10586064,657682,12490873,198148,14343653,1051920,0,0,0,0,0,0,0,0,0,0,0,32,2.0103443928407407
16711422,8947591,3699702,657930,15349029,6250335,9874395,1780305,0,0,0,0,0,0,0,0,0,0,0,22,0.7759791149987957
16710907,15719907,1576724,13887478,9154261,2299925,2039847,14711961,0,0,0,0,0,0,0,0,0,0,0,12,0.8111713041468886
16579836,3355962,657930,6203875,5197132,4478585,10921368,7159665,0,0,0,0,0,0,0,0,0,0,0,19,1.0038304514063536
15856113,15658993,15790577,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0.7233303742859281
16711422,328965,10197915,6052956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0.8152435822094363
16711422,16053496,12883057,3355443,7694688,1192803,9149361,1322387,0,0,0,0,0,0,0,0,0,0,0,14,0.5821302113513075
16711422,3105669,5209697,8232261,15461871,6918486,9810780,8102762,0,0,0,0,0,0,0,0,0,0,0,18,0.7613092891706643
16579835,1779244,12899037,1713186,7035474,2235927,4873064,10004151,0,0,0,0,0,0,0,0,0,0,0,11,0.7557551856123228
15461875,4216978,16711422,12757896,6513507,2631720,7116884,1718107,0,0,0,0,0,0,0,0,0,0,0,24,1.5285178582673173
15856113,15856370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.7233303742859281
16447219,6252655,9804962,13817306,16381431,13217126,15848795,11638834,0,0,0,0,0,0,0,0,0,0,0,17,1.177479480817186
1052690,986635,16711422,2108456,6118221,5272143,1774873,4408117,0,0,0,0,0,0,0,0,0,0,0,13,0.8852815499381546
15987699,2106150,6117716,4935508,2434339,2566954,5592918,3882822,0,0,0,0,0,0,0,0,0,0,0,25,1.8714583140356729
15856113,11575939,6906461,14672353,14870507,2892833,5659758,10395813,0,0,0,0,0,0,0,0,0,0,0,26,1.208462423219034
399411,4543078,6729440,6146894,16711422,13291220,0,7307411,0,0,0,0,0,0,0,0,0,0,0,21,1.0237956089746731
16711163,16252154,3636175,15069174,16175327,15520642,3420461,8495553,0,0,0,0,0,0,0,0,0,0,0,33,1.6315935124774483
16711422,6382696,2105636,3699167,10396069,14079962,5460819,15066854,0,0,0,0,0,0,0,0,0,0,0,14,1.0889003024423933
855309,6842472,11184809,9672860,2434856,7304827,1776668,9541444,0,0,0,0,0,0,0,0,0,0,0,10,0.07446437298110332
16711422,15922167,10200246,4417477,2171427,197379,6250851,13342561,0,0,0,0,0,0,0,0,0,0,0,16,0.883152750443109
16645629,3355443,10854302,15003122,6316128,245,15349287,4890157,0,0,0,0,0,0,0,0,0,0,0,7,0.21510138791034353
16448250,4423091,723723,7361103,14541549,10656924,4746463,8822212,0,0,0,0,0,0,0,0,0,0,0,21,1.2804951366163289
16711422,9323619,4996736,12208723,1512831,15457505,12619680,2633016,0,0,0,0,0,0,0,0,0,0,0,19,1.3187314494442695
16711422,4683301,13225169,6451582,131586,9805736,1912847,6316128,0,0,0,0,0,0,0,0,0,0,0,8,0.31741716680103194
16711422,6794221,13887481,3223857,2828329,10658209,6052443,6644836,0,0,0,0,0,0,0,0,0,0,0,10,0.5139756185797826
16711165,12705495,266578,5722445,3419689,11771023,4295762,15001581,0,0,0,0,0,0,0,0,0,0,0,16,0.6542759140943523
328708,16579054,4408915,921394,7885118,8560070,14476524,13933144,0,0,0,0,0,0,0,0,0,0,0,9,0.44875892130547473
16711422,394758,10395294,6184542,228,14935036,5658349,8553201,0,0,0,0,0,0,0,0,0,0,0,12,0.6031348109515273
3437143,3484197,1785390,8344644,2445374,16052977,15915860,11838585,0,0,0,0,0,0,0,0,0,0,0,14,0.33625663925085253
16382456,11443589,8874840,2500228,723723,15001325,13026739,8822466,0,0,0,0,0,0,0,0,0,0,0,24,1.5817495988767973
